Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
454        392             15853.1           15853.1           15853.1           6122.18           0                 
455        186             16876.7           16876.7           16876.7           5890.69           0                 
456        274             16917.6           16917.6           16917.6           8563.37           0                 
457        63              17405.7           17405.7           17405.7           9786.05           0                 
458        404             21292.4           21292.4           21292.4           16057.7           0                 
459        444             22413.2           22413.2           22413.2           8567.41           0                 
460        131             24901             24901             24901             5267.48           0                 
461        90              27361             27361             27361             14848.1           0                 
462        170             28761.2           28761.2           28761.2           9674.4            0                 
463        2               29283             29283             29283             28451.3           0                 
avg_fct 1159.965138
avg_fct_small 14.572948
avg_fct_large 6517.563370
99_small_fct 23.554000
99_fct 8567.414000
flow_cnt 464
small_flow_cnt 232
large_flow_cnt 46
max_small_flow_index 232
min_large_flow_index 417
99_small_flow_index 229
99_flow_index 459
